key,context,font_role,note,ko-KR,en-US
codex.enemy.empty_body,적 도감 빈 상태,body,,사용 가능한 적 정의가 없습니다.,NO ENEMY DEFINITIONS ARE AVAILABLE.
ui.dungeon.start.title,시작 터렛 선택 제목,title,,시작 터렛 선택,CHOOSE STARTING TURRET
ui.dungeon.start.description,시작 터렛 선택 설명,body,,3개 중 하나를 선택하세요.,SELECT 1 OF 3 TURRETS
ui.dungeon.start.error_title,시작 터렛 설정 오류 제목,title,,시작 터렛 설정 오류,STARTING TURRET SETUP ERROR
ui.dungeon.start.error_description,시작 터렛 설정 오류 설명,body,,서로 다른 터렛 3개가 필요합니다.[br]사용 가능한 정의: {count},3 DIFFERENT TURRETS ARE REQUIRED[br]AVAILABLE DEFINITIONS: {count}
ui.dungeon.start.retry,시작 터렛 다시 시도 버튼,body,,다시 시도,RETRY
ui.dungeon.starting_items.title,스타팅 아이템 구성 제목,title,,스타팅 아이템 구성,STARTING ITEM LOADOUT
ui.dungeon.starting_items.description,스타팅 아이템 구성 설명,body,,아이템별 리롤: {rerolls}회. 확정하면 {count}개를 모두 획득합니다.,REROLLS PER ITEM: {rerolls}. CONFIRM TO TAKE ALL {count} ITEMS.
ui.dungeon.starting_items.reroll,스타팅 아이템 리롤 버튼,number,,리롤 ({count}),REROLL ({count})
ui.dungeon.starting_items.reroll_used,스타팅 아이템 리롤 사용 완료,body,,리롤 사용 완료,REROLL USED
ui.dungeon.starting_items.confirm,스타팅 아이템 확정 버튼,body,,아이템 확정,CONFIRM ITEMS
ui.dungeon.starting_items.error_title,스타팅 아이템 설정 오류 제목,title,,스타팅 아이템 설정 오류,STARTING ITEM SETUP ERROR
ui.dungeon.starting_items.error_description,스타팅 아이템 설정 오류 설명,body,,리롤 가능한 중복 없는 구성을 위해 {required}개의 스타팅 아이템이 필요합니다.[br]현재 사용 가능: {available},{required} UNIQUE STARTING ITEMS ARE REQUIRED FOR REROLLS.[br]CURRENTLY AVAILABLE: {available}
ui.dungeon.result.clear_title,던전 클리어 제목,title,,던전 클리어,DUNGEON CLEAR
ui.dungeon.result.clear_description,던전 클리어 설명,body,,모든 전투 {count}회를 클리어했습니다.,ALL {count} BATTLES CLEARED
ui.dungeon.result.reset_description,던전 패배 설명,body,,이번 진행이 초기화되었습니다.[br]새 시작 터렛을 선택하세요.,THE RUN WAS RESET[br]CHOOSE A NEW STARTING TURRET
ui.dungeon.result.start_new_run,던전 결과 버튼,body,,새로 시작,START NEW RUN
ui.dungeon.result.return_main,던전 결과 버튼,body,,메인으로 돌아가기,RETURN TO MAIN
ui.dungeon.reward.title,던전 보상 선택 제목,title,,보상 선택,CHOOSE REWARD
ui.dungeon.reward.summary,던전 보상 선택 설명,body,,전투 {current} / {total} 클리어 (스케일 {scale})[br]다음 스케일 {next}[br]{count}개 중 하나를 선택하세요.,BATTLE {current} / {total} CLEAR (SCALE {scale})[br]NEXT SCALE {next}[br]CHOOSE 1 OF {count}
ui.dungeon.reward.content_title,던전 상세 보상 선택 제목,title,,획득할 보상 선택,CHOOSE YOUR REWARD
ui.dungeon.reward.content_summary,던전 상세 보상 선택 설명,body,,무작위 후보 {count}개 중 하나를 선택하세요.,CHOOSE 1 OF {count} RANDOM OPTIONS
ui.dungeon.reward.category.card,던전 보상 분류,title,,전투 카드,BATTLE CARD
ui.dungeon.reward.category.shield,던전 보상 분류,title,,보호막,SHIELD
ui.dungeon.reward.category.energy,던전 보상 분류,title,,에너지 강화,ENERGY UPGRADE
ui.dungeon.reward.category.item,던전 보상 분류,title,,소모형 아이템,CONSUMABLE ITEM
ui.dungeon.reward.category.new_turret,던전 보상 분류,title,,새 터렛,NEW TURRET
ui.dungeon.reward.category.turret_upgrade,던전 보상 분류,title,,터렛 강화,TURRET UPGRADE
ui.dungeon.reward.category.turret_upgrade_slot,던전 보상 분류,number,,터렛 강화 | S{slot},TURRET UPGRADE | S{slot}
ui.dungeon.reward.category.starting_turret,던전 보상 분류,title,,시작 터렛,STARTING TURRET
ui.dungeon.reward.card_select_title,전투 카드 보상 선택 제목,title,,카드 획득,ACQUIRE CARD
ui.dungeon.reward.card_select_description,전투 카드 보상 선택 설명,body,,보상 풀에서 무작위 카드 3개를 확인합니다.,VIEW 3 RANDOM CARDS FROM THE REWARD POOL
ui.dungeon.reward.item_select_title,소비 아이템 보상 선택 제목,title,,소비 아이템 획득,ACQUIRE CONSUMABLE
ui.dungeon.reward.item_select_description,소비 아이템 보상 선택 설명,body,,보상 풀에서 무작위 소비 아이템 3개를 확인합니다.,VIEW 3 RANDOM CONSUMABLES FROM THE REWARD POOL
ui.dungeon.reward.shield_title,보호막 회복 보상 제목,title,,보호막 회복,RECOVER SHIELD
ui.dungeon.reward.shield_change,보호막 회복 보상 설명,number,,보호막 {before}/{maximum} → {after}/{maximum},SHIELD {before}/{maximum} → {after}/{maximum}
ui.dungeon.reward.shield_footer,보호막 회복 보상 꼬리말,number,,보호막 +{amount},SHIELD +{amount}
ui.dungeon.reward.energy.max_title,에너지 보상 제목,title,,최대 에너지 +1,MAX ENERGY +1
ui.dungeon.reward.energy.recharge_title,에너지 보상 제목,title,,충전 시간 -0.5초,RECHARGE -0.5s
ui.dungeon.reward.energy.max_change,에너지 보상 설명,number,,최대 {before} → {after},MAX {before} → {after}
ui.dungeon.reward.energy.recharge_change,에너지 보상 설명,number,,{before:0.0}초 → {after:0.0}초,{before:0.0}s → {after:0.0}s
ui.dungeon.reward.run_footer,던전 보상 꼬리말,body,,이번 진행에 적용,APPLIES FOR THIS RUN
ui.dungeon.reward.card_footer,카드 보상 꼬리말,number,,비용 {cost} | 이번 진행 보유 {count}장,COST {cost} | RUN COPIES {count}
ui.dungeon.reward.item_footer,아이템 보상 꼬리말,number,,보유 x{owned} | 획득 x1,OWNED x{owned} | GAIN x1
ui.dungeon.reward.new_turret.empty_description,새 터렛 보상 설명,body,,새 터렛을 파티에 추가합니다.,ADD A NEW TURRET
ui.dungeon.reward.new_turret.footer,새 터렛 보상 꼬리말,number,,기술 C{cost} | 공격 쿨다운 {cooldown:0.#}초,SKILL C{cost} | ATTACK CD {cooldown:0.#}s
ui.dungeon.reward.new_turret.empty_slot,새 터렛 보상 꼬리말,body,,빈 파티 슬롯 필요,EMPTY PARTY SLOT REQUIRED
ui.dungeon.reward.unknown_turret,던전 보상 오류 제목,title,,알 수 없는 터렛,UNKNOWN TURRET
ui.dungeon.reward.unknown_upgrade,던전 보상 오류 제목,title,,알 수 없는 강화,UNKNOWN UPGRADE
ui.dungeon.reward.turret_unavailable,던전 보상 오류 설명,body,,터렛 데이터를 사용할 수 없습니다.,TURRET DATA IS UNAVAILABLE
ui.dungeon.reward.permanent_footer,터렛 강화 보상 꼬리말,body,,이번 진행 동안 영구 적용,PERMANENT FOR THIS RUN
ui.dungeon.reward.start.footer,시작 터렛 꼬리말,number,,기술 C{cost} | 공격 쿨다운 {cooldown:0.#}초[br]클릭하여 시작,SKILL C{cost} | ATTACK CD {cooldown:0.#}s[br]CLICK TO START
ui.dungeon.reward.upgrade.attack_power_title,터렛 강화 제목,title,,공격력,ATTACK POWER
ui.dungeon.reward.upgrade.attack_speed_title,터렛 강화 제목,title,,공격속도,ATTACK SPEED
ui.dungeon.reward.upgrade.skill_power_title,터렛 강화 제목,title,,기술 공격력,SKILL POWER
ui.dungeon.reward.upgrade.skill_cost_title,터렛 강화 제목,title,,기술 코스트,SKILL COST
ui.dungeon.reward.upgrade.generic_title,터렛 강화 제목,title,,터렛 강화,TURRET UPGRADE
ui.dungeon.reward.upgrade.attack_change,터렛 강화 설명,number,,공격 {before} → {after},ATTACK {before} → {after}
ui.dungeon.reward.upgrade.cooldown_change,터렛 강화 설명,number,,쿨다운 {before:0.#}초 → {after:0.#}초,COOLDOWN {before:0.#}s → {after:0.#}s
ui.dungeon.reward.upgrade.skill_attack_change,터렛 강화 설명,number,,기술 공격 {before} → {after},SKILL ATTACK {before} → {after}
ui.dungeon.reward.upgrade.skill_cost_change,터렛 강화 설명,number,,기술 코스트 {before} → {after},SKILL COST {before} → {after}
ui.dungeon.replace.title,터렛 교체 제목,title,,터렛 교체,REPLACE TURRET
ui.dungeon.replace.description,터렛 교체 설명,body,,신규: {name}[br]교체된 터렛의 강화는 사라집니다.,NEW: {name}[br]THE REPLACED TURRET'S UPGRADES WILL BE LOST
ui.dungeon.replace.empty_slot,터렛 교체 선택지,number,,슬롯 {slot},SLOT {slot}
character.saena.name,캐릭터 이름,title,,새나,Saena
character.saena.description,캐릭터 설명,body,,아카데미 1학년생,Arcademy 1st grade
character.aisling.name,캐릭터 이름,title,,아이슬린,Aisling
character.aisling.description,캐릭터 설명,body,,아카데미 1학년생,Arcademy 1st grade
character.suiren.name,캐릭터 이름,title,,스이렌,Suiren
character.suiren.description,캐릭터 설명,body,,아카데미 1학년생,Arcademy 1st grade
character.unnamed.name,캐릭터 이름,title,,이름 없는 캐릭터,Unnamed Character
character.unnamed.description,캐릭터 설명,body,,이름 없는 캐릭터,Unnamed Character
character.byeolha.name,캐릭터 이름,title,,별하,Byeolha
character.byeolha.description,캐릭터 설명,body,,아카데미 천문학부,Astronomy of Academy
character.isolde.name,캐릭터 이름,title,,이졸데,Isolde
character.isolde.description,캐릭터 설명,body,,아카데미 천문학부,Astronomy of Academy
character.mirinae.name,캐릭터 이름,title,,미리내,Mirinae
character.mirinae.description,캐릭터 설명,body,,아카데미 천문학부 부장,Director of the Astronomy of Academy
status.starpowder.name,상태 이름,title,,별가루,Star Dust
status.starpowder.description,상태 설명,tooltip,,효과 없이 스택만 누적되는 영구 상태입니다.,A permanent status that only stores stacks.
status.combo.name,상태 이름,title,,연격,Combo
status.combo.description,상태 설명,tooltip,,효과 없이 스택만 누적되는 영구 상태입니다.,A permanent status that only stores stacks.
status.speed.name,상태 이름,title,,속도,Speed
status.speed.description,상태 설명,tooltip,,공격 속도 상승,Attack speed glow
status.power.name,상태 이름,title,,위력,Power
status.power.description,상태 설명,tooltip,,공격력 상승,Damage glow
status.ready.name,상태 이름,title,,준비,Ready
status.ready.description,상태 설명,tooltip,,효과 없이 스택만 누적되는 영구 상태입니다.,A permanent status that only stores stacks.
status.blood.name,상태 이름,title,,출혈,Blood
status.blood.description,상태 설명,tooltip,,매 틱마다 스택 수만큼 피해를 받습니다.,Takes damage equal to its stacks each tick.
status.poison.name,상태 이름,title,,중독,Poison
status.poison.description,상태 설명,tooltip,,매 틱마다 스택 수만큼 피해를 받습니다.,Takes damage equal to its stacks each tick.
character.calista.name,캐릭터 이름,title,,칼리스타,Calista
character.calista.description,캐릭터 설명,body,,아카데미 기사단 교환학생,exchange student of Order
status.focus.name,상태 이름,title,,집중,Focus
status.focus.description,상태 설명,tooltip,,대상을 최우선 목표로 설정합니다.,Pick first target
character.lilias.name,캐릭터 이름,title,,릴리아스,Lilias
character.lilias.description,캐릭터 설명,body,,아카데미 기사단 교환학생,exchange student of Order
character.isana.name,캐릭터 이름,title,,이사나,Isana
character.isana.description,캐릭터 설명,body,,아카데미 기사단 교환학생,exchange student of Order
status.dualside.name,상태 이름,title,,듀얼사이드,DualSide
status.dualside.description,상태 설명,tooltip,,듀얼사이드,DualSide
roll.main.vanguard.name,직군 이름,title,,전위,Vanguard
roll.main.vanguard.description,직군 설명,body,,전위,Vanguard
roll.main.shooter.name,직군 이름,title,,사수,Shooter
roll.main.shooter.description,직군 설명,body,,사수,Shooter
roll.main.support.name,직군 이름,title,,지원,Support
roll.main.support.description,직군 설명,body,,지원,Support
roll.main.mage.name,직군 이름,title,,술사,Mage
roll.main.mage.description,직군 설명,body,,술사,Mage
roll.main.scout.name,직군 이름,title,,척후,Scount
roll.main.scout.description,직군 설명,body,,척후,Scount
roll.sub.exploration.name,세부 직군 이름,title,,탐험 동아리,Exploration Club
roll.sub.exploration.description,세부 직군 설명,body,,탐험 동아리,Exploration Club
roll.sub.exploration.passive.stage_attack.name,세부 직군 패시브 이름,title,,탐험의 성과,Exploration Results
roll.sub.exploration.passive.stage_attack.description,세부 직군 패시브 설명,body,,"완료한 던전 스테이지마다 공격력을 1 획득합니다. 이벤트, 휴식, 상점 스테이지를 포함합니다.","Gain 1 Attack Power for each completed dungeon stage, including event, rest, and shop stages."
card.public.catalog.c001.name,카드 이름,title,,"정밀 사격","Precision Shot"
card.public.catalog.c001.description,카드 설명,tooltip,,"적 1명에게 피해 18","Deal 18 damage to one enemy."
card.public.catalog.c002.name,카드 이름,title,,"이중 사격","Double Shot"
card.public.catalog.c002.description,카드 설명,tooltip,,"적 1명에게 피해 9를 2회","Deal 9 damage to one enemy twice."
card.public.catalog.c003.name,카드 이름,title,,"관통 사격","Piercing Shot"
card.public.catalog.c003.description,카드 설명,tooltip,,"지정 적에게 16, 뒤의 적에게 8 피해","Deal 16 damage to the selected enemy and 8 damage to the enemy behind it."
card.public.catalog.c004.name,카드 이름,title,,"산탄 돌파","Scattershot Breach"
card.public.catalog.c004.description,카드 설명,tooltip,,"지정 지점 반지름 1.5에 피해 15","Deal 15 damage within a 1.5-radius area at the designated point."
card.public.catalog.c005.name,카드 이름,title,,"폭발 탄두","Explosive Warhead"
card.public.catalog.c005.description,카드 설명,tooltip,,"반지름 2에 피해 12, Opening 1스택","Deal 12 damage within a radius of 2 and apply 1 stack of Opening."
card.public.catalog.c006.name,카드 이름,title,,"연쇄 사격","Chain Shot"
card.public.catalog.c006.description,카드 설명,tooltip,,"무작위 적 3명에게 각각 피해 10","Deal 10 damage to each of 3 random enemies."
card.public.catalog.c007.name,카드 이름,title,,"사냥 표식","Hunting Mark"
card.public.catalog.c007.description,카드 설명,tooltip,,"대상에게 Focus 8초, 다음 공격 피해 +12","Apply Focus to the target for 8 seconds and increase the next attack's damage by 12."
card.public.catalog.c008.name,카드 이름,title,,"약점 관측","Weakness Scan"
card.public.catalog.c008.description,카드 설명,tooltip,,"대상에게 Opening 1스택, 카드 1장 드로우","Apply 1 stack of Opening to the target and draw 1 card."
card.public.catalog.c009.name,카드 이름,title,,"처형선","Execution Line"
card.public.catalog.c009.description,카드 설명,tooltip,,"적 1명에게 피해 25, 체력 35% 이하이면 추가 20","Deal 25 damage to one enemy, plus 20 damage if its Health is 35% or lower."
card.public.catalog.c010.name,카드 이름,title,,"중력탄","Gravity Round"
card.public.catalog.c010.description,카드 설명,tooltip,,"피해 10, Stun 1.5초","Deal 10 damage and Stun the target for 1.5 seconds."
card.public.catalog.c011.name,카드 이름,title,,"화염탄","Incendiary Round"
card.public.catalog.c011.description,카드 설명,tooltip,,"피해 5, Fire 2스택","Deal 5 damage and apply 2 stacks of Fire."
card.public.catalog.c012.name,카드 이름,title,,"출혈탄","Bleeding Round"
card.public.catalog.c012.description,카드 설명,tooltip,,"피해 5, Blood 2스택","Deal 5 damage and apply 2 stacks of Blood."
card.public.catalog.c013.name,카드 이름,title,,"독성탄","Toxic Round"
card.public.catalog.c013.description,카드 설명,tooltip,,"피해 5, Poison 2스택","Deal 5 damage and apply 2 stacks of Poison."
card.public.catalog.c014.name,카드 이름,title,,"방어 관통","Armor-Piercing Shot"
card.public.catalog.c014.description,카드 설명,tooltip,,"적 1명에게 피해 20, 보호 효과 무시","Deal 20 damage to one enemy, ignoring protective effects."
card.public.catalog.c015.name,카드 이름,title,,"최후의 일격","Final Blow"
card.public.catalog.c015.description,카드 설명,tooltip,,"체력 40% 이하인 모든 적에게 피해 30. 처치 시 2장 드로우","Deal 30 damage to all enemies at 40% Health or lower. Draw 2 cards when this kills an enemy."
card.public.catalog.c016.name,카드 이름,title,,"원형 폭격","Circular Bombardment"
card.public.catalog.c016.description,카드 설명,tooltip,,"지정 지점 반지름 2에 피해 18","Deal 18 damage within a 2-radius area at the designated point."
card.public.catalog.c017.name,카드 이름,title,,"낙뢰 지점","Lightning Strike Point"
card.public.catalog.c017.description,카드 설명,tooltip,,"2초 후 지정 지점 반지름 1.5에 피해 22","After 2 seconds, deal 22 damage within a 1.5-radius area at the designated point."
card.public.catalog.c018.name,카드 이름,title,,"지뢰 설치","Mine Deployment"
card.public.catalog.c018.description,카드 설명,tooltip,,"지정 위치에 설치. 최초 진입 적에게 피해 25와 Stun 1초","Deploy a mine at the designated position. The first enemy to enter takes 25 damage and is Stunned for 1 second."
card.public.catalog.c019.name,카드 이름,title,,"화염 확산","Flame Spread"
card.public.catalog.c019.description,카드 설명,tooltip,,"Fire 상태의 모든 적에게 피해 12, Fire 1스택 제거","Deal 12 damage to all enemies with Fire and remove 1 stack of Fire from them."
card.public.catalog.c020.name,카드 이름,title,,"출혈 폭발","Blood Explosion"
card.public.catalog.c020.description,카드 설명,tooltip,,"Blood 상태의 모든 적에게 피해 18, Blood 1스택 제거","Deal 18 damage to all enemies with Blood and remove 1 stack of Blood from them."
card.public.catalog.c021.name,카드 이름,title,,"독성 전염","Toxic Contagion"
card.public.catalog.c021.description,카드 설명,tooltip,,"대상에게 Poison 2스택, 주변 적 2명에게 1스택 전염","Apply 2 stacks of Poison to the target and spread 1 stack to 2 nearby enemies."
card.public.catalog.c022.name,카드 이름,title,,"개방 파열","Opening Rupture"
card.public.catalog.c022.description,카드 설명,tooltip,,"대상에게 Opening 1스택, 주변 적에게 피해 10","Apply 1 stack of Opening to the target and deal 10 damage to nearby enemies."
card.public.catalog.c023.name,카드 이름,title,,"결박 고리","Binding Ring"
card.public.catalog.c023.description,카드 설명,tooltip,,"무작위 적 최대 3명에게 Stun 1초","Stun up to 3 random enemies for 1 second."
card.public.catalog.c024.name,카드 이름,title,,"방어선 교란","Defense Line Disruption"
card.public.catalog.c024.description,카드 설명,tooltip,,"방어선에 도달한 적을 1.5초 기절","Stun enemies that have reached the defense line for 1.5 seconds."
card.public.catalog.c025.name,카드 이름,title,,"시간 정지","Time Stop"
card.public.catalog.c025.description,카드 설명,tooltip,,"모든 적에게 Stun 2초","Stun all enemies for 2 seconds."
card.public.catalog.c026.name,카드 이름,title,,"유인 신호","Lure Signal"
card.public.catalog.c026.description,카드 설명,tooltip,,"대상에게 Focus 8초. 자동 공격 우선 대상 지정","Apply Focus to the target for 8 seconds, making it the priority target for automatic attacks."
card.public.catalog.c027.name,카드 이름,title,,"역류 충격","Backflow Shock"
card.public.catalog.c027.description,카드 설명,tooltip,,"최근 5초 안에 코어를 공격한 적에게 피해 25","Deal 25 damage to enemies that attacked the core within the last 5 seconds."
card.public.catalog.c028.name,카드 이름,title,,"연막 교란","Smoke Disruption"
card.public.catalog.c028.description,카드 설명,tooltip,,"지정 지점 주변 적에게 Stun 0.75초, Focus 제거","Stun enemies around the designated point for 0.75 seconds and remove Focus from them."
card.public.catalog.c029.name,카드 이름,title,,"추적 폭발","Tracking Explosion"
card.public.catalog.c029.description,카드 설명,tooltip,,"Focus 상태인 모든 적에게 피해 20","Deal 20 damage to all enemies with Focus."
card.public.catalog.c030.name,카드 이름,title,,"전장 소각","Battlefield Incineration"
card.public.catalog.c030.description,카드 설명,tooltip,,"모든 적에게 피해 20과 Fire 2스택","Deal 20 damage and apply 2 stacks of Fire to all enemies."
card.public.catalog.c031.name,카드 이름,title,,"응급 수리","Emergency Repair"
card.public.catalog.c031.description,카드 설명,tooltip,,"코어 보호막 25 회복","Restore 25 Core Shield."
card.public.catalog.c032.name,카드 이름,title,,"정밀 수리","Precision Repair"
card.public.catalog.c032.description,카드 설명,tooltip,,"코어 보호막 45 회복. 코어가 30% 이하이면 추가 20","Restore 45 Core Shield, plus 20 if the core is at 30% Health or lower."
card.public.catalog.c033.name,카드 이름,title,,"보호막 재기동","Shield Restart"
card.public.catalog.c033.description,카드 설명,tooltip,,"코어 보호막 80 회복","Restore 80 Core Shield."
card.public.catalog.c034.name,카드 이름,title,,"방벽 재배치","Barrier Reposition"
card.public.catalog.c034.description,카드 설명,tooltip,,"대원 1명에게 보호막 35. 코어 체력이 30% 이하면 추가 15","Grant 35 Shield to one operator, plus 15 if core health is 30% or lower."
card.public.catalog.c035.name,카드 이름,title,,"대원 보호막","Operator Shield"
card.public.catalog.c035.description,카드 설명,tooltip,,"대원 1명에게 보호막 25","Grant 25 Shield to one operator."
card.public.catalog.c036.name,카드 이름,title,,"긴급 회복","Emergency Healing"
card.public.catalog.c036.description,카드 설명,tooltip,,"대원 1명의 체력 30 회복","Restore 30 Health to one operator."
card.public.catalog.c037.name,카드 이름,title,,"광역 응급 처치","Mass First Aid"
card.public.catalog.c037.description,카드 설명,tooltip,,"모든 대원의 체력 18 회복","Restore 18 Health to all operators."
card.public.catalog.c038.name,카드 이름,title,,"소생 프로토콜","Revival Protocol"
card.public.catalog.c038.description,카드 설명,tooltip,,"사망한 대원 1명을 최대 체력 35%로 부활. 없으면 체력 35 회복","Revive one fallen operator with 35% of their maximum Health. If there are none, restore 35 Health instead."
card.public.catalog.c039.name,카드 이름,title,,"희생의 수리","Sacrificial Repair"
card.public.catalog.c039.description,카드 설명,tooltip,,"대원 1명의 체력 15를 소모하고 코어 보호막 80 회복","Spend 15 Health from one operator to restore 80 Core Shield."
card.public.catalog.c040.name,카드 이름,title,,"방어 분담","Shared Defense"
card.public.catalog.c040.description,카드 설명,tooltip,,"다음 코어 피해의 30%를 지정 대원이 대신 받음","The designated operator takes 30% of the next damage dealt to the core instead."
card.public.catalog.c041.name,카드 이름,title,,"최후 방어선","Last Defense Line"
card.public.catalog.c041.description,카드 설명,tooltip,,"코어 보호막 50 회복, 방어선의 적을 1초 기절","Restore 50 Core Shield and Stun enemies at the defense line for 1 second."
card.public.catalog.c042.name,카드 이름,title,,"긴급 방호","Emergency Guard"
card.public.catalog.c042.description,카드 설명,tooltip,,"대원 1명에게 보호막 20, 해로운 상태 1개 제거","Grant 20 Shield to one operator and remove 1 harmful status."
card.public.catalog.c043.name,카드 이름,title,,"불굴","Indomitable"
card.public.catalog.c043.description,카드 설명,tooltip,,"체력 30% 이하 대원에게 체력 20과 Power 1스택","Restore 20 Health and grant 1 stack of Power to operators at 30% Health or lower."
card.public.catalog.c044.name,카드 이름,title,,"회복 순환","Healing Cycle"
card.public.catalog.c044.description,카드 설명,tooltip,,"대원 1명 체력 20 회복, 카드 1장 드로우","Restore 20 Health to one operator and draw 1 card."
card.public.catalog.c045.name,카드 이름,title,,"코어 봉인","Core Seal"
card.public.catalog.c045.description,카드 설명,tooltip,,"3초 동안 코어가 피해를 받지 않음","Prevent the core from taking damage for 3 seconds."
card.public.catalog.c046.name,카드 이름,title,,"빠른 전개","Rapid Deployment"
card.public.catalog.c046.description,카드 설명,tooltip,,"카드 1장 드로우","Draw 1 card."
card.public.catalog.c047.name,카드 이름,title,,"정찰 드로우","Reconnaissance Draw"
card.public.catalog.c047.description,카드 설명,tooltip,,"카드 2장 드로우 후 손패 1장 버림","Draw 2 cards, then discard 1 card from your hand."
card.public.catalog.c048.name,카드 이름,title,,"전술 재정렬","Tactical Reordering"
card.public.catalog.c048.description,카드 설명,tooltip,,"손패 1장을 버리고 카드 2장 드로우","Discard 1 card from your hand, then draw 2 cards."
card.public.catalog.c049.name,카드 이름,title,,"카드 회수","Card Recovery"
card.public.catalog.c049.description,카드 설명,tooltip,,"버림 더미의 카드 1장을 손패로 가져옴","Return 1 card from the discard pile to your hand."
card.public.catalog.c050.name,카드 이름,title,,"재편성","Reorganization"
card.public.catalog.c050.description,카드 설명,tooltip,,"버림 더미를 뽑기 더미에 섞고 2장 드로우","Shuffle the discard pile into the draw pile, then draw 2 cards."
card.public.catalog.c051.name,카드 이름,title,,"손패 압축","Hand Compression"
card.public.catalog.c051.description,카드 설명,tooltip,,"손패 최대 2장을 소멸하고 그 수보다 1장 더 드로우","Exhaust up to 2 cards from your hand, then draw 1 more card than the number exhausted."
card.public.catalog.c052.name,카드 이름,title,,"과감한 버리기","Bold Discard"
card.public.catalog.c052.description,카드 설명,tooltip,,"현재 손패를 모두 버리고 4장 드로우","Discard your entire hand, then draw 4 cards."
card.public.catalog.c053.name,카드 이름,title,,"비축 에너지","Energy Reserve"
card.public.catalog.c053.description,카드 설명,tooltip,,"에너지 1 회복. 손패가 2장 이하이면 1장 드로우","Restore 1 Energy. If you have 2 or fewer cards in hand, draw 1 card."
card.public.catalog.c054.name,카드 이름,title,,"비용 절감","Cost Reduction"
card.public.catalog.c054.description,카드 설명,tooltip,,"다음 카드 3장의 비용 -1","Reduce the cost of the next 3 cards by 1."
card.public.catalog.c055.name,카드 이름,title,,"전투 지휘","Battle Command"
card.public.catalog.c055.description,카드 설명,tooltip,,"카드 2장 드로우. 다음 카드 비용 0","Draw 2 cards. The next card costs 0."
card.public.catalog.c056.name,카드 이름,title,,"완벽한 순환","Perfect Cycle"
card.public.catalog.c056.description,카드 설명,tooltip,,"뽑기·버림 더미를 합쳐 섞고 5장 드로우","Combine and shuffle the draw and discard piles, then draw 5 cards."
card.public.catalog.c057.name,카드 이름,title,,"손패 보호","Hand Protection"
card.public.catalog.c057.description,카드 설명,tooltip,,"다음 자동 패 교체를 무시하고 카드 1장 드로우","Ignore the next automatic hand redraw and draw 1 card."
card.public.catalog.c058.name,카드 이름,title,,"순간 판단","Split-Second Judgment"
card.public.catalog.c058.description,카드 설명,tooltip,,"다음 카드 비용 -1, 카드 1장 드로우","Reduce the next card's cost by 1 and draw 1 card."
card.public.catalog.c059.name,카드 이름,title,,"소멸의 대가","Price of Exhaustion"
card.public.catalog.c059.description,카드 설명,tooltip,,"손패 1장을 소멸하고 에너지 1 회복","Exhaust 1 card from your hand and restore 1 Energy."
card.public.catalog.c060.name,카드 이름,title,,"무리한 주문","Reckless Casting"
card.public.catalog.c060.description,카드 설명,tooltip,,"현재 손패를 버리고 에너지 2 회복, 카드 2장 드로우","Discard your current hand, restore 2 Energy, and draw 2 cards."
card.public.catalog.c061.name,카드 이름,title,,"진격 명령","Assault Order"
card.public.catalog.c061.description,카드 설명,tooltip,,"대원 1명의 다음 기본 공격 피해 +10","Increase one operator's next basic attack damage by 10."
card.public.catalog.c062.name,카드 이름,title,,"방어 명령","Defense Order"
card.public.catalog.c062.description,카드 설명,tooltip,,"대원 1명에게 보호막 15","Grant 15 Shield to one operator."
card.public.catalog.c063.name,카드 이름,title,,"즉응 명령","Rapid Response Order"
card.public.catalog.c063.description,카드 설명,tooltip,,"대원 1명의 기본 공격 대기시간을 즉시 완료","Immediately ready one operator's basic attack."
card.public.catalog.c064.name,카드 이름,title,,"교차 전개","Cross Deployment"
card.public.catalog.c064.description,카드 설명,tooltip,,"대원 2명의 기본 공격 대기시간을 즉시 완료하고 다음 기본 공격 피해 +10","Immediately ready 2 operators' basic attacks and increase their next basic attack damage by 10."
card.public.catalog.c065.name,카드 이름,title,,"전원 집결","All-Hands Rally"
card.public.catalog.c065.description,카드 설명,tooltip,,"카드 1장 드로우. 모든 대원의 다음 기본 공격 피해 +4","Draw 1 card. Increase every operator's next basic attack damage by 4."
card.public.catalog.c066.name,카드 이름,title,,"일제 공세","Coordinated Assault"
card.public.catalog.c066.description,카드 설명,tooltip,,"모든 대원의 다음 기본 공격 피해 +12","Increase every operator's next basic attack damage by 12."
card.public.catalog.c067.name,카드 이름,title,,"측면 협공","Flanking Assault"
card.public.catalog.c067.description,카드 설명,tooltip,,"대원 1명의 다음 기본 공격이 50% 위력으로 한 번 더 판정","Repeat one operator's next basic attack once at 50% power."
card.public.catalog.c068.name,카드 이름,title,,"봉쇄 지점","Blockade Point"
card.public.catalog.c068.description,카드 설명,tooltip,,"지정 지점에 5초간 영역 생성. 진입한 적에게 피해 15와 Stun 1초","Create an area at the designated point for 5 seconds. Enemies that enter take 15 damage and are Stunned for 1 second."
card.public.catalog.c069.name,카드 이름,title,,"유도 장벽","Guiding Barrier"
card.public.catalog.c069.description,카드 설명,tooltip,,"지정 지점으로 적을 끌어당기고 Stun 1초","Pull enemies toward the designated point and Stun them for 1 second."
